split,source_split,model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,ci_level,ci_lower,ci_upper,bootstrap_std,num_paired_samples,a_sample_win_rate,b_sample_win_rate,tie_rate,interpretation
filtered_test,test,kimi_k2_5_reasoning,gpt_5_4_mini,3.1716789668,3.6783671587,-0.5066881919,0.9500000000,-0.5942343173,-0.4208025830,0.0445497901,2168,0.2237084871,0.5009225092,0.2753690037,model_b_higher
filtered_test,test,kimi_k2_5_reasoning,gpt_5_4_mini_reasoning_medium,3.1702166897,4.0435223605,-0.8733056708,0.9500000000,-0.9526060396,-0.7940963578,0.0410239353,2169,0.1853388658,0.5564776395,0.2581834947,model_b_higher
filtered_test,test,kimi_k2_5_reasoning,gemini_3_1_flash_lite_preview,3.1712373038,2.8966759003,0.2745614035,0.9500000000,0.1945498615,0.3578970452,0.0417258671,2166,0.3882733149,0.2890120037,0.3227146814,model_a_higher
filtered_test,test,qwen35_397b_a17b,qwen35_397b_a17b_reasoning,2.1876788186,2.8590678357,-0.6713890171,0.9500000000,-0.7587932626,-0.5839859252,0.0447004513,2167,0.2404245501,0.4859252423,0.2736502077,model_b_higher
filtered_test,test,qwen35_397b_a17b,gpt_5_4_mini,2.1870729455,3.6785318560,-1.4914589104,0.9500000000,-1.5786265005,-1.4052608495,0.0445931577,2166,0.1172668513,0.7026777470,0.1800554017,model_b_higher
filtered_test,test,qwen35_397b_a17b,gpt_5_4_mini_reasoning_medium,2.1876788186,4.0438855561,-1.8562067374,0.9500000000,-1.9337805722,-1.7780283802,0.0397742487,2167,0.0715274573,0.7669589294,0.1615136133,model_b_higher
filtered_test,test,qwen35_397b_a17b,gemini_3_1_flash_lite_preview,2.1876617375,2.8970425139,-0.7093807763,0.9500000000,-0.7889567930,-0.6302218115,0.0406228805,2164,0.2074861368,0.5277264325,0.2647874307,model_b_higher
filtered_test,test,qwen35_397b_a17b_reasoning,gpt_5_4_mini,2.8589022140,3.6783671587,-0.8194649446,0.9500000000,-0.9074757841,-0.7287327030,0.0455642710,2168,0.1923431734,0.5244464945,0.2832103321,model_b_higher
filtered_test,test,qwen35_397b_a17b_reasoning,gpt_5_4_mini_reasoning_medium,2.8587367450,4.0435223605,-1.1847856155,0.9500000000,-1.2706327801,-1.0996772706,0.0432785981,2169,0.1475334255,0.5919778700,0.2604887045,model_b_higher
filtered_test,test,qwen35_397b_a17b_reasoning,gemini_3_1_flash_lite_preview,2.8572483841,2.8966759003,-0.0394275162,0.9500000000,-0.1234545245,0.0438631117,0.0427166048,2166,0.3060941828,0.3559556787,0.3379501385,overlap_zero
filtered_test,test,gpt_5_4_mini,gpt_5_4_mini_reasoning_medium,3.6783671587,4.0430811808,-0.3647140221,0.9500000000,-0.4363018911,-0.2928032749,0.0365628172,2168,0.2615313653,0.3505535055,0.3879151292,model_b_higher
filtered_test,test,gpt_5_4_mini,gemini_3_1_flash_lite_preview,3.6779676674,2.8968591224,0.7811085450,0.9500000000,0.6938106236,0.8688695150,0.0444188046,2165,0.5205542725,0.1866050808,0.2928406467,model_a_higher
filtered_test,test,gpt_5_4_mini_reasoning_medium,gemini_3_1_flash_lite_preview,4.0433518006,2.8966759003,1.1466759003,0.9500000000,1.0645429363,1.2285791782,0.0418703433,2166,0.5697137581,0.1583564174,0.2719298246,model_a_higher
