metric_group,split,source_split,model_slug,dataset,source_kind,num_filtered_samples,num_metric_rows,num_missing_rows,num_render_success,render_success_rate
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,ChemVQA-2K,benchmark_eval,288,288,0,274,0.9513888889
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,DocVQA,benchmark_eval,292,292,0,229,0.7842465753
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,EEE-Bench,benchmark_eval,67,67,0,53,0.7910447761
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,GEOQA_8K_R1V,benchmark_eval,73,73,0,68,0.9315068493
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,Geoperception,benchmark_eval,137,137,0,106,0.7737226277
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,Graph-Algorithms,benchmark_eval,161,161,0,138,0.8571428571
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,GraphVQA-Swift,benchmark_eval,175,175,0,161,0.9200000000
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,OlympiadBench,benchmark_eval,81,81,0,70,0.8641975309
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,Physics,benchmark_eval,121,121,0,111,0.9173553719
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,dvqa,benchmark_eval,161,161,0,154,0.9565217391
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,figureqa,benchmark_eval,161,161,0,138,0.8571428571
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,geometry3k,benchmark_eval,65,65,0,41,0.6307692308
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,matplotlib,benchmark_eval,31,31,0,22,0.7096774194
render_success,filtered_test,test,qwen35_397b_a17b_reasoning,spatialvlm_qa,benchmark_eval,161,161,0,43,0.2670807453
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,ChartQA,benchmark_eval_test_derived,45,45,0,43,0.9555555556
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,ChemVQA-2K,benchmark_eval_test_derived,63,63,0,57,0.9047619048
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,DocVQA,benchmark_eval_test_derived,68,68,0,56,0.8235294118
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,EEE-Bench,benchmark_eval_test_derived,22,22,0,17,0.7727272727
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,GEOQA_8K_R1V,benchmark_eval_test_derived,21,21,0,18,0.8571428571
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Geoperception,benchmark_eval_test_derived,34,34,0,27,0.7941176471
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Graph-Algorithms,benchmark_eval_test_derived,39,39,0,33,0.8461538462
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,GraphVQA-Swift,benchmark_eval_test_derived,42,42,0,38,0.9047619048
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,OlympiadBench,benchmark_eval_test_derived,23,23,0,21,0.9130434783
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,Physics,benchmark_eval_test_derived,31,31,0,28,0.9032258065
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,dvqa,benchmark_eval_test_derived,39,39,0,37,0.9487179487
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,figureqa,benchmark_eval_test_derived,39,39,0,36,0.9230769231
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,geometry3k,benchmark_eval_test_derived,21,21,0,12,0.5714285714
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,matplotlib,benchmark_eval_test_derived,13,13,0,10,0.7692307692
render_success,filtered_test_mini,test,qwen35_397b_a17b_reasoning,spatialvlm_qa,benchmark_eval_test_derived,39,39,0,7,0.1794871795
render_success,filtered_test,test,gpt_5_4,ChartQA,benchmark_eval,195,195,0,194,0.9948717949
render_success,filtered_test,test,gpt_5_4,ChemVQA-2K,benchmark_eval,288,288,0,288,1.0000000000
render_success,filtered_test,test,gpt_5_4,DocVQA,benchmark_eval,292,292,0,273,0.9349315068
render_success,filtered_test,test,gpt_5_4,EEE-Bench,benchmark_eval,67,67,0,67,1.0000000000
render_success,filtered_test,test,gpt_5_4,GEOQA_8K_R1V,benchmark_eval,73,73,0,71,0.9726027397
render_success,filtered_test,test,gpt_5_4,Geoperception,benchmark_eval,137,137,0,137,1.0000000000
render_success,filtered_test,test,gpt_5_4,Graph-Algorithms,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4,GraphVQA-Swift,benchmark_eval,175,175,0,174,0.9942857143
render_success,filtered_test,test,gpt_5_4,OlympiadBench,benchmark_eval,81,81,0,81,1.0000000000
render_success,filtered_test,test,gpt_5_4,Physics,benchmark_eval,121,121,0,121,1.0000000000
render_success,filtered_test,test,gpt_5_4,dvqa,benchmark_eval,161,161,0,161,1.0000000000
render_success,filtered_test,test,gpt_5_4,figureqa,benchmark_eval,161,161,0,155,0.9627329193
