metric_group,split,source_split,model_slug,dataset,stage,num_filtered_samples,num_metric_rows,num_missing_rows,num_rated_final,num_missing_rating,benchmark_score_0_to_5,mean_final_rating_0_to_5,mean_raw_score_0_to_5,macro_mean_final_rating_0_to_5,macro_mean_raw_score_0_to_5,num_rated_raw,num_render_success
main_benchmark,filtered_test_mini,test,kimi_k2_5,EEE-Bench,,22,22,0,22,0,2.7227272727,2.7227272727,2.7477272727,2.7227272727,2.7477272727,22,21
main_benchmark,filtered_test_mini,test,kimi_k2_5,GEOQA_8K_R1V,,21,21,0,21,0,3.1761904762,3.1761904762,3.1928571429,3.1761904762,3.1928571429,21,20
main_benchmark,filtered_test_mini,test,kimi_k2_5,Geoperception,,34,34,0,34,0,3.3176470588,3.3176470588,3.3973529412,3.3176470588,3.3973529412,34,32
main_benchmark,filtered_test_mini,test,kimi_k2_5,Graph-Algorithms,,39,39,0,39,0,2.8564102564,2.8564102564,4.0038461538,2.8564102564,4.0038461538,39,39
main_benchmark,filtered_test_mini,test,kimi_k2_5,GraphVQA-Swift,,42,42,0,42,0,3.7309523810,3.7309523810,3.8886904762,3.7309523810,3.8886904762,42,41
main_benchmark,filtered_test_mini,test,kimi_k2_5,OlympiadBench,,23,23,0,23,0,2.3434782609,2.3434782609,2.9521739130,2.3434782609,2.9521739130,23,22
main_benchmark,filtered_test_mini,test,kimi_k2_5,Physics,,31,31,0,31,0,4.1774193548,4.1774193548,4.2467741935,4.1774193548,4.2467741935,31,30
main_benchmark,filtered_test_mini,test,kimi_k2_5,dvqa,,39,39,0,39,0,4.4230769231,4.4230769231,4.4525641026,4.4230769231,4.4525641026,39,39
main_benchmark,filtered_test_mini,test,kimi_k2_5,figureqa,,39,39,0,39,0,3.7666666667,3.7666666667,3.8742307692,3.7666666667,3.8742307692,39,39
main_benchmark,filtered_test_mini,test,kimi_k2_5,geometry3k,,21,21,0,21,0,3.4761904762,3.4761904762,3.4854761905,3.4761904762,3.4854761905,21,21
main_benchmark,filtered_test_mini,test,kimi_k2_5,matplotlib,,13,13,0,13,0,3.6307692308,3.6307692308,3.8661538462,3.6307692308,3.8661538462,13,13
main_benchmark,filtered_test_mini,test,kimi_k2_5,spatialvlm_qa,,39,39,0,39,0,1.1051282051,1.1051282051,1.2807692308,1.1051282051,1.2807692308,39,27
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,ChartQA,,195,195,0,195,0,3.5543589744,3.5543589744,3.5844615385,3.5543589744,3.5844615385,195,163
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,ChemVQA-2K,,288,288,0,288,0,2.6399305556,2.6399305556,3.5447916667,2.6399305556,3.5447916667,288,267
main_benchmark,filtered_test,test,kimi_k2_5_reasoning,DocVQA,,292,292,0,292,0,2.6263698630,2.6263698630,3.8032020548,2.6263698630,3.8032020548,292,249
